Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
110.86667	-0.00166
110.73333	0.01332
110.60000	0.64170
110.50000	0.00349
110.41667	0.63397
110.33333	-0.00086
110.25000	0.46547
110.18333	-0.00166
110.11667	0.00333
110.03333	0.58516
109.96667	-0.00150
109.86667	0.00172
109.76667	0.59064
109.66667	-0.00102
109.55000	0.50977
109.45000	-0.00247
109.33333	0.12704
109.21667	-0.00295
109.11667	0.09273
109.03333	-0.00295
108.95000	-0.00215
108.86667	0.00156
108.78333	0.05810
108.70000	-0.00134
108.61667	-0.00102
108.53333	0.11271
108.43333	-0.00134
108.30000	0.11963
108.20000	-0.00118
108.08333	0.11706
108.00000	-0.00182
107.95000	0.11335
107.85000	-0.00166
107.76667	0.12157
107.66667	-0.00150
107.51667	0.11544
107.35000	-0.00182
107.15000	0.12334
106.95000	-0.00215
106.76667	0.10723
106.61667	-0.00070
106.50000	0.11561
106.38333	-0.00182
106.28333	0.11979
106.21667	-0.00086
106.13333	0.11641
106.03333	-0.00053
105.91667	0.11383
105.83333	-0.00231
105.78333	0.11222
105.73333	-0.00231
105.70000	0.11689
105.65000	-0.00215
105.60000	0.13494
105.51667	-0.00053
105.43333	0.13236
105.31667	-0.00327
105.20000	0.16393
105.08333	-0.00198
104.95000	0.11963
104.81667	-0.00118
104.68333	-0.00166
104.51667	0.13236
104.35000	-0.00182
104.20000	0.12157
104.06667	-0.00005
103.96667	-0.00005
103.85000	-0.00005
103.76667	0.00236
103.71667	-0.00279
103.65000	0.02266
103.58333	0.00269
103.53333	0.00027
103.43333	0.00059
103.31667	0.00398
103.18333	0.00333
103.06667	0.00349
102.90000	0.00188
102.76667	0.00253
102.63333	0.00156
102.51667	0.00092
102.43333	0.00285
102.35000	0.00092
102.25000	0.00317
102.15000	0.00027
102.05000	0.00092
101.96667	0.00301
101.88333	0.00414
101.80000	0.00236
101.70000	0.00204
101.60000	0.00285
101.50000	0.00156
101.36667	0.00075
101.18333	0.00381
100.98333	0.00349
100.78333	0.00027
100.58333	0.00285
100.40000	0.00253
100.23333	0.00253
100.10000	0.00607
99.95000	0.00301
99.80000	0.00220
99.66667	0.00543
99.51667	0.00172
99.36667	0.00478
99.21667	0.00317
99.08333	0.00204
98.93333	0.00220
98.78333	0.00398
98.68333	0.00301
98.58333	0.00317
98.53333	0.00349
98.48333	0.00204
98.43333	0.00220
98.36667	0.00462
98.31667	0.00414
98.25000	0.00414
98.15000	0.00430
98.03333	0.00398
97.91667	0.00349
97.80000	0.00559
